Date,Open,High,Low,Close*
"Aug 25, 2022","17,679.00","17,726.50","17,487.45","17,522.45"
"Aug 24, 2022","17,525.45","17,623.65","17,499.25","17,604.95"
"Aug 23, 2022","17,357.35","17,625.55","17,345.20","17,577.50"
"Aug 22, 2022","17,682.90","17,690.05","17,467.35","17,490.70"
"Aug 19, 2022","17,966.55","17,992.20","17,710.75","17,758.45"
"Aug 18, 2022","17,898.65","17,968.45","17,852.05","17,956.50"
"Aug 17, 2022","17,868.15","17,965.95","17,833.35","17,944.25"
"Aug 16, 2022","17,797.20","17,839.10","17,764.05","17,825.25"
"Aug 12, 2022","17,659.65","17,724.65","17,597.85","17,698.15"
"Aug 11, 2022","17,711.65","17,719.30","17,631.95","17,659.00"
"Aug 10, 2022","17,566.10","17,566.10","17,442.80","17,534.75"
"Aug 08, 2022","17,401.50","17,548.80","17,359.75","17,525.10"
"Aug 05, 2022","17,423.65","17,474.40","17,348.75","17,397.50"
"Aug 04, 2022","17,463.10","17,490.70","17,161.25","17,382.00"
"Aug 03, 2022","17,349.25","17,407.50","17,225.85","17,388.15"
"Aug 02, 2022","17,310.15","17,390.15","17,215.85","17,345.45"
"Aug 01, 2022","17,243.20","17,356.25","17,154.80","17,340.05"
"Jul 29, 2022","17,079.50","17,172.80","17,018.15","17,158.25"
"Jul 28, 2022","16,774.85","16,947.65","16,746.25","16,929.60"
"Jul 27, 2022","16,475.35","16,653.45","16,438.75","16,641.80"
"Jul 26, 2022","16,632.90","16,636.10","16,463.30","16,483.85"
"Jul 25, 2022","16,662.55","16,706.05","16,564.25","16,631.00"
"Jul 22, 2022","16,661.25","16,752.25","16,610.90","16,719.45"
"Jul 21, 2022","16,523.55","16,626.95","16,483.90","16,605.25"
"Jul 20, 2022","16,562.80","16,588.00","16,490.95","16,520.85"
"Jul 19, 2022","16,187.05","16,359.50","16,187.05","16,340.55"
"Jul 18, 2022","16,151.40","16,287.95","16,142.20","16,278.50"
"Jul 15, 2022","16,010.80","16,066.95","15,927.30","16,049.20"
"Jul 14, 2022","16,018.85","16,070.85","15,858.20","15,938.65"
"Jul 13, 2022","16,128.20","16,140.00","15,950.15","15,966.65"
"Jul 12, 2022","16,126.20","16,158.75","16,031.15","16,058.30"
"Jul 11, 2022","16,136.15","16,248.55","16,115.50","16,216.00"
"Jul 08, 2022","16,273.65","16,275.50","16,157.90","16,220.60"
"Jul 07, 2022","16,113.75","16,150.50","16,045.95","16,132.90"
"Jul 06, 2022","15,818.20","16,011.35","15,800.90","15,989.80"
"Jul 05, 2022","15,909.15","16,025.75","15,785.45","15,810.85"
"Jul 04, 2022","15,710.50","15,852.35","15,661.80","15,835.35"
"Jul 01, 2022","15,703.70","15,793.95","15,511.05","15,752.05"
"Jun 30, 2022","15,774.50","15,890.00","15,728.85","15,780.25"
"Jun 29, 2022","15,701.70","15,861.60","15,687.80","15,799.10"
"Jun 28, 2022","15,757.45","15,892.10","15,710.15","15,850.20"
"Jun 27, 2022","15,926.20","15,927.45","15,815.50","15,832.05"
"Jun 24, 2022","15,657.40","15,749.25","15,619.45","15,699.25"
"Jun 23, 2022","15,451.55","15,628.45","15,367.50","15,556.65"
"Jun 22, 2022","15,545.65","15,565.40","15,385.95","15,413.30"
"Jun 21, 2022","15,455.95","15,707.25","15,419.85","15,638.80"
"Jun 20, 2022","15,334.50","15,382.50","15,191.10","15,350.15"
"Jun 17, 2022","15,272.65","15,400.40","15,183.40","15,293.50"
"Jun 16, 2022","15,832.25","15,863.15","15,335.10","15,360.60"
"Jun 15, 2022","15,729.25","15,783.65","15,678.90","15,692.15"
"Jun 14, 2022","15,674.25","15,858.00","15,659.45","15,732.10"
"Jun 13, 2022","15,877.55","15,886.15","15,684.00","15,774.40"
"Jun 10, 2022","16,283.95","16,324.70","16,172.60","16,201.80"
"Jun 09, 2022","16,263.85","16,492.80","16,243.85","16,478.10"
"Jun 08, 2022","16,474.95","16,514.30","16,293.35","16,356.25"
"Jun 07, 2022","16,469.60","16,487.25","16,347.10","16,416.35"
"Jun 06, 2022","16,530.70","16,610.95","16,444.55","16,569.55"
"Jun 03, 2022","16,761.65","16,793.85","16,567.90","16,584.30"
"Jun 02, 2022","16,481.65","16,646.40","16,443.05","16,628.00"
"Jun 01, 2022","16,594.40","16,649.20","16,438.85","16,522.75"
"May 31, 2022","16,578.45","16,690.75","16,521.90","16,584.55"
"May 30, 2022","16,527.90","16,695.50","16,506.15","16,661.40"
"May 27, 2022","16,296.60","16,370.60","16,221.95","16,352.45"
"May 26, 2022","16,105.00","16,204.45","15,903.70","16,170.15"
"May 25, 2022","16,196.35","16,223.35","16,006.95","16,025.80"
"May 24, 2022","16,225.55","16,262.80","16,078.60","16,125.15"
"May 23, 2022","16,290.95","16,414.70","16,185.75","16,214.70"
"May 20, 2022","16,043.80","16,283.05","16,003.85","16,266.15"
"May 19, 2022","15,917.40","15,984.75","15,775.20","15,809.40"
"May 18, 2022","16,318.15","16,399.80","16,211.20","16,240.30"
"May 17, 2022","15,912.60","16,284.25","15,900.80","16,259.30"
"May 16, 2022","15,845.10","15,977.95","15,739.65","15,842.30"
"May 13, 2022","15,977.00","16,083.60","15,740.85","15,782.15"
"May 12, 2022","16,021.10","16,041.95","15,735.75","15,808.00"
"May 11, 2022","16,270.05","16,318.75","15,992.60","16,167.10"
"May 10, 2022","16,248.90","16,404.55","16,197.30","16,240.05"
"May 09, 2022","16,227.70","16,403.70","16,142.10","16,301.85"
"May 06, 2022","16,415.55","16,484.20","16,340.90","16,411.25"
"May 05, 2022","16,854.75","16,945.70","16,651.85","16,682.65"
"May 04, 2022","17,096.60","17,132.85","16,623.95","16,677.60"
"May 02, 2022","16,924.45","17,092.25","16,917.25","17,069.10"
"Apr 29, 2022","17,329.25","17,377.65","17,053.25","17,102.55"
"Apr 28, 2022","17,189.50","17,322.50","17,071.05","17,245.05"
"Apr 27, 2022","17,073.35","17,110.70","16,958.45","17,038.40"
"Apr 26, 2022","17,121.30","17,223.85","17,064.45","17,200.80"
"Apr 25, 2022","17,009.05","17,054.30","16,888.70","16,953.95"
"Apr 22, 2022","17,242.75","17,315.30","17,149.20","17,171.95"
"Apr 21, 2022","17,234.60","17,414.70","17,215.50","17,392.60"
"Apr 20, 2022","17,045.25","17,186.90","16,978.95","17,136.55"
"Apr 19, 2022","17,258.95","17,275.65","16,824.70","16,958.65"
"Apr 18, 2022","17,183.45","17,237.75","17,067.85","17,173.65"
"Apr 13, 2022","17,599.90","17,663.65","17,457.40","17,475.65"
"Apr 12, 2022","17,584.85","17,595.30","17,442.35","17,530.30"
"Apr 11, 2022","17,740.90","17,779.05","17,650.95","17,674.95"
"Apr 08, 2022","17,698.15","17,842.75","17,600.55","17,784.35"
"Apr 07, 2022","17,723.30","17,787.50","17,623.70","17,639.55"
"Apr 06, 2022","17,842.75","17,901.00","17,779.85","17,807.65"
"Apr 05, 2022","18,080.60","18,095.45","17,921.55","17,957.40"
"Apr 04, 2022","17,809.10","18,114.65","17,791.40","18,053.40"
"Apr 01, 2022","17,436.90","17,703.70","17,422.70","17,670.45"
"Mar 31, 2022","17,519.20","17,559.80","17,435.20","17,464.75"
"Mar 30, 2022","17,468.15","17,522.50","17,387.20","17,498.25"
"Mar 29, 2022","17,297.20","17,343.65","17,235.70","17,325.30"
"Mar 28, 2022","17,181.85","17,235.10","17,003.90","17,222.00"
"Mar 25, 2022","17,289.00","17,294.90","17,076.55","17,153.00"
"Mar 24, 2022","17,094.95","17,291.75","17,091.15","17,222.75"
"Mar 23, 2022","17,405.05","17,442.40","17,199.60","17,245.65"
"Mar 22, 2022","17,120.40","17,334.40","17,006.30","17,315.50"
"Mar 21, 2022","17,329.50","17,353.35","17,096.40","17,117.60"
"Mar 17, 2022","17,202.90","17,344.60","17,175.75","17,287.05"
"Mar 16, 2022","16,876.65","16,987.90","16,837.85","16,975.35"
"Mar 15, 2022","16,900.65","16,927.75","16,555.00","16,663.00"
"Mar 14, 2022","16,633.70","16,887.95","16,606.50","16,871.30"
"Mar 11, 2022","16,528.80","16,694.40","16,470.90","16,630.45"
"Mar 10, 2022","16,757.10","16,757.30","16,447.90","16,594.90"
"Mar 09, 2022","16,078.00","16,418.05","15,990.00","16,345.35"
"Mar 08, 2022","15,747.75","16,028.75","15,671.45","16,013.45"
"Mar 07, 2022","15,867.95","15,944.60","15,711.45","15,863.15"
"Mar 04, 2022","16,339.45","16,456.00","16,133.80","16,245.35"
